标准答案,用户outcome抽取方式,topic,,,,,,
gs-useranswer-df,oc-useranswer,5,0.911259793,6.56E-12,-0.056542511,0.770798889,-0.135372216,0.483822207
gs-useranswer-ndf,oc-useranswer,5,0.909894089,8.00E-12,-0.073800087,0.7036014,-0.135372216,0.483822207
gs-fixedresult-df,oc-useranswer,5,0.907322966,1.15E-11,-0.060699964,0.754440736,-0.135372216,0.483822207
gs-clickedresult-df,oc-useranswer,5,0.906975159,1.21E-11,-0.059529611,0.759035515,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-useranswer,5,0.902824596,2.12E-11,-0.068707179,0.723231609,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-useranswer,5,0.901936411,2.39E-11,-0.068839397,0.722719746,-0.135372216,0.483822207
gs-manual,oc-useranswer,5,0.878855359,3.60E-10,-0.001150468,0.995274217,-0.135372216,0.483822207
gs-manual,oc-useranswer,9,0.821568673,4.69E-08,-0.036928723,0.849164782,-0.121192127,0.531153062
gs-fixedresult-ndf,oc-useranswer,9,0.809578397,1.05E-07,-0.045634121,0.814162364,-0.121192127,0.531153062
gs-fixedresult-df,oc-useranswer,9,0.807777349,1.18E-07,-0.04277308,0.825630805,-0.121192127,0.531153062
gs-clickedresult-ndf,oc-useranswer,9,0.807721456,1.18E-07,-0.046100679,0.812295668,-0.121192127,0.531153062
gs-clickedresult-df,oc-useranswer,9,0.80728878,1.21E-07,-0.04273243,0.825794011,-0.121192127,0.531153062
gs-useranswer-ndf,oc-useranswer,9,0.799789523,1.94E-07,-0.043548562,0.822518724,-0.121192127,0.531153062
gs-useranswer-df,oc-useranswer,9,0.796295418,2.39E-07,-0.049658564,0.798094346,-0.121192127,0.531153062
gs-manual,oc-useranswer,4,0.789331131,3.60E-07,0.131460091,0.496660582,-0.023989966,0.901691599
gs-manual,oc-useranswer,3,0.773735649,8.54E-07,-0.21210822,0.269323521,-0.234550121,0.220686723
gs-clickedresult-df,oc-useranswer,3,0.770892592,9.92E-07,-0.202791055,0.291407914,-0.234550121,0.220686723
gs-fixedresult-df,oc-useranswer,3,0.769390067,1.07E-06,-0.203731517,0.289128145,-0.234550121,0.220686723
gs-clickedresult-ndf,oc-useranswer,3,0.768556047,1.12E-06,-0.206521502,0.282431816,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-useranswer,3,0.767143886,1.21E-06,-0.209617682,0.275117645,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-useranswer,4,0.730909556,6.71E-06,0.183344391,0.341090542,-0.023989966,0.901691599
gs-clickedresult-ndf,oc-useranswer,4,0.726456503,8.13E-06,0.201517913,0.294512238,-0.023989966,0.901691599
gs-fixedresult-df,oc-useranswer,4,0.724303922,8.91E-06,0.196203181,0.307696086,-0.023989966,0.901691599
gs-clickedresult-df,oc-useranswer,4,0.723457938,9.23E-06,0.196902672,0.305940191,-0.023989966,0.901691599
gs-manual,oc-useranswer,6,0.719097147,1.11E-05,0.231666924,0.22657743,0.280597071,0.140373638
gs-useranswer-ndf,oc-useranswer,4,0.71712796,1.20E-05,0.169862312,0.378357689,-0.023989966,0.901691599
gs-manual,oc-useranswer,2,0.706094502,1.87E-05,0.026809847,0.890201457,-0.004482394,0.98158909
gs-fixedresult-df,oc-useranswer,2,0.690722816,3.36E-05,0.034853137,0.857554418,-0.004482394,0.98158909
gs-clickedresult-df,oc-useranswer,2,0.690577735,3.38E-05,0.034866322,0.85750107,-0.004482394,0.98158909
gs-clickedresult-ndf,oc-useranswer,2,0.686177702,3.97E-05,0.025463118,0.89568639,-0.004482394,0.98158909
gs-fixedresult-ndf,oc-useranswer,2,0.68454081,4.21E-05,0.022569346,0.907487699,-0.004482394,0.98158909
gs-useranswer-df,oc-useranswer,4,0.676870192,5.53E-05,0.26026388,0.172710008,-0.023989966,0.901691599
gs-useranswer-df,oc-useranswer,8,0.653631516,0.000120593,0.300603075,0.113082674,0.328992026,0.081398566
gs-fixedresult-ndf,oc-useranswer,8,0.651938396,0.000127316,0.284417887,0.134824431,0.328992026,0.081398566
gs-clickedresult-ndf,oc-useranswer,8,0.651857102,0.000127647,0.282938179,0.136954205,0.328992026,0.081398566
gs-fixedresult-df,oc-useranswer,8,0.651553442,0.00012889,0.285512919,0.133263943,0.328992026,0.081398566
gs-clickedresult-df,oc-useranswer,8,0.650453512,0.000133483,0.286748932,0.131518434,0.328992026,0.081398566
gs-useranswer-ndf,oc-useranswer,8,0.63696784,0.00020282,0.274756878,0.149172993,0.328992026,0.081398566
gs-fixedresult-ndf,oc-useranswer,6,0.632857001,0.000229511,0.237245687,0.215273853,0.280597071,0.140373638
gs-manual,oc-useranswer,12,0.630416854,0.000246782,0.093982443,0.627730117,-0.033778583,0.861903851
gs-manual,oc-useranswer,8,0.629052494,0.000256931,0.25747649,0.177521085,0.328992026,0.081398566
gs-clickedresult-ndf,oc-useranswer,6,0.627518896,0.000268778,0.240609654,0.208646287,0.280597071,0.140373638
gs-clickedresult-df,oc-useranswer,6,0.625692752,0.000283511,0.232947638,0.223947862,0.280597071,0.140373638
gs-fixedresult-df,oc-useranswer,6,0.624523439,0.000293315,0.236096292,0.217570771,0.280597071,0.140373638
gs-useranswer-ndf,oc-useranswer,7,0.595671531,0.000651336,-0.139742637,0.469683361,-0.159418122,0.4087858
gs-useranswer-df,oc-useranswer,6,0.593155773,0.000695787,0.173142369,0.369080592,0.280597071,0.140373638
gs-useranswer-df,oc-useranswer,7,0.591979943,0.000717458,-0.141284253,0.464747975,-0.159418122,0.4087858
gs-clickedresult-ndf,oc-useranswer,7,0.570003406,0.001246497,-0.156998518,0.416025759,-0.159418122,0.4087858
gs-useranswer-ndf,oc-useranswer,6,0.566995638,0.00134041,0.205720313,0.284344538,0.280597071,0.140373638
gs-fixedresult-ndf,oc-useranswer,7,0.565962874,0.001374045,-0.155638556,0.420126174,-0.159418122,0.4087858
gs-clickedresult-df,oc-useranswer,7,0.565622472,0.001385291,-0.148100353,0.443256515,-0.159418122,0.4087858
gs-fixedresult-df,oc-useranswer,7,0.564528478,0.001421976,-0.151568069,0.432531987,-0.159418122,0.4087858
gs-manual,oc-useranswer,11,0.551552314,0.001925828,0.086998946,0.653613464,0.090182078,0.641764547
gs-useranswer-ndf,oc-useranswer,1,0.548054295,0.002085593,0.173362974,0.368461476,0.319154133,0.091496513
gs-useranswer-df,oc-useranswer,1,0.541267277,0.002428472,0.19586057,0.308558414,0.319154133,0.091496513
gs-manual,oc-useranswer,7,0.537288874,0.002651236,-0.143821312,0.45668535,-0.159418122,0.4087858
gs-fixedresult-df,oc-useranswer,1,0.535291806,0.002769542,0.193375691,0.314857731,0.319154133,0.091496513
gs-fixedresult-ndf,oc-useranswer,1,0.527675334,0.003263414,0.164875928,0.39271729,0.319154133,0.091496513
gs-clickedresult-ndf,oc-useranswer,1,0.526002125,0.003381499,0.163909974,0.395534562,0.319154133,0.091496513
gs-clickedresult-df,oc-useranswer,1,0.525933803,0.003386398,0.16258109,0.399429101,0.319154133,0.091496513
gs-manual,oc-useranswer,1,0.458302428,0.012409205,0.11520928,0.551764926,0.319154133,0.091496513
gs-clickedresult-ndf,oc-useranswer,12,0.449050522,0.014542473,-0.000272325,0.998881363,-0.033778583,0.861903851
gs-fixedresult-ndf,oc-useranswer,12,0.442217816,0.016306494,-0.00870425,0.964256596,-0.033778583,0.861903851
gs-useranswer-ndf,oc-useranswer,11,0.413996175,0.025573925,0.199835694,0.298645956,0.090182078,0.641764547
gs-fixedresult-df,oc-useranswer,12,0.41174097,0.026469829,0.041719216,0.829864195,-0.033778583,0.861903851
gs-clickedresult-df,oc-fixedresult-ndf,8,0.411675932,0.02649604,0.044711687,0.817855943,0.328992026,0.081398566
gs-clickedresult-df,oc-useranswer,12,0.38774946,0.037677389,0.039621646,0.838303938,-0.033778583,0.861903851
gs-fixedresult-df,oc-useranswer,11,0.384905235,0.0392266,0.26232959,0.169204399,0.090182078,0.641764547
gs-useranswer-df,oc-fixedresult-ndf,8,0.383094646,0.040239081,0.188019378,0.32870518,0.328992026,0.081398566
gs-useranswer-ndf,oc-fixedresult-df,7,0.379803618,0.042132858,0.093364872,0.630002295,-0.159418122,0.4087858
gs-fixedresult-ndf,oc-fixedresult-ndf,8,0.379058015,0.042571628,0.028816895,0.882036452,0.328992026,0.081398566
gs-clickedresult-df,oc-fixedresult-df,12,0.373799252,0.045770702,0.398418993,0.032297608,-0.033778583,0.861903851
gs-manual,oc-clickedresult-df,7,0.36994002,0.04823763,-0.229837372,0.230369777,-0.159418122,0.4087858
gs-useranswer-df,oc-useranswer,12,0.368493222,0.049189149,0.014983122,0.938510946,-0.033778583,0.861903851
gs-clickedresult-df,oc-useranswer,11,0.363464274,0.052612564,0.260477414,0.172345277,0.090182078,0.641764547
gs-useranswer-df,oc-useranswer,11,0.363276322,0.052744058,0.155828124,0.419553271,0.090182078,0.641764547
gs-fixedresult-df,oc-fixedresult-df,8,0.353891499,0.059645917,0.088383822,0.64844805,0.328992026,0.081398566
gs-useranswer-ndf,oc-fixedresult-ndf,5,0.353286102,0.060114286,-0.156654423,0.417061127,-0.135372216,0.483822207
gs-useranswer-df,oc-fixedresult-ndf,5,0.336072906,0.074675219,-0.20550592,0.284857768,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-useranswer,11,0.328685396,0.081699837,0.307163961,0.105054778,0.090182078,0.641764547
gs-useranswer-df,oc-fixedresult-df,7,0.327977713,0.082398405,0.024847658,0.898194606,-0.159418122,0.4087858
gs-fixedresult-df,oc-clickedresult-df,12,0.314373691,0.09673338,-0.095543655,0.622000933,-0.033778583,0.861903851
gs-useranswer-ndf,oc-useranswer,12,0.313925562,0.097235644,4.40E-05,0.999819165,-0.033778583,0.861903851
gs-fixedresult-df,oc-fixedresult-df,12,0.313081942,0.098186506,0.29543703,0.119717852,-0.033778583,0.861903851
gs-fixedresult-ndf,oc-fixedresult-ndf,4,0.309866867,0.101874577,0.300647198,0.113027206,-0.023989966,0.901691599
gs-fixedresult-df,oc-fixedresult-ndf,8,0.306375098,0.105996801,0.09214898,0.634485478,0.328992026,0.081398566
gs-manual,oc-clickedresult-df,2,0.305136732,0.107488321,0.157479855,0.414579839,-0.004482394,0.98158909
gs-clickedresult-ndf,oc-useranswer,11,0.299599891,0.114349267,0.315296724,0.09570501,0.090182078,0.641764547
gs-manual,oc-clickedresult-ndf,12,0.299427433,0.114568064,0.322290832,0.088178961,-0.033778583,0.861903851
gs-fixedresult-ndf,oc-clickedresult-df,7,0.288377167,0.12924461,0.083180937,0.667934838,-0.159418122,0.4087858
gs-clickedresult-ndf,oc-fixedresult-ndf,8,0.284886874,0.134154475,0.015704375,0.935556944,0.328992026,0.081398566
gs-clickedresult-df,oc-fixedresult-ndf,11,0.283939167,0.135510804,-0.117291577,0.544549224,0.090182078,0.641764547
gs-manual,oc-clickedresult-df,10,0.280948973,0.139855733,0.221575631,0.24802333,0.154042144,0.424967953
gs-fixedresult-ndf,oc-clickedresult-df,10,0.279903401,0.141398605,0.364567778,0.051845736,0.154042144,0.424967953
gs-clickedresult-df,oc-clickedresult-df,12,0.27936428,0.142198946,-0.060939925,0.753499664,-0.033778583,0.861903851
gs-fixedresult-df,oc-fixedresult-df,11,0.267521237,0.160616825,-0.136165337,0.481240305,0.090182078,0.641764547
gs-manual,oc-fixedresult-ndf,5,0.256170703,0.179806959,0.05840052,0.763475914,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-clickedresult-df,10,0.25448117,0.182795115,0.32493287,0.08545623,0.154042144,0.424967953
gs-manual,oc-clickedresult-df,12,0.248707768,0.193267609,-0.227608669,0.235046687,-0.033778583,0.861903851
gs-clickedresult-df,oc-clickedresult-ndf,11,0.239268736,0.211271191,-0.002642556,0.989145415,0.090182078,0.641764547
gs-manual,oc-clickedresult-ndf,7,0.238986624,0.21182629,-0.146233113,0.449090085,-0.159418122,0.4087858
gs-fixedresult-ndf,oc-clickedresult-ndf,12,0.233200469,0.223431191,0.30648786,0.10586176,-0.033778583,0.861903851
gs-fixedresult-ndf,oc-clickedresult-df,3,0.227158898,0.235998159,-0.284351701,0.134919175,-0.234550121,0.220686723
gs-manual,oc-fixedresult-ndf,2,0.223474985,0.243888007,-0.349970037,0.062730992,-0.004482394,0.98158909
gs-useranswer-ndf,oc-fixedresult-ndf,11,0.215535557,0.261480057,-0.028658936,0.882678639,0.090182078,0.641764547
gs-useranswer-ndf,oc-clickedresult-df,7,0.212741093,0.267863852,-0.28322186,0.136544012,-0.159418122,0.4087858
gs-fixedresult-df,oc-fixedresult-ndf,11,0.208965047,0.276649138,-0.091576528,0.636600597,0.090182078,0.641764547
gs-clickedresult-ndf,oc-clickedresult-ndf,10,0.208045144,0.278817097,-0.24665298,0.197093137,0.154042144,0.424967953
gs-useranswer-df,oc-clickedresult-df,12,0.207538096,0.280016718,-0.146189949,0.44922542,-0.033778583,0.861903851
gs-clickedresult-ndf,oc-fixedresult-ndf,4,0.203403278,0.289922536,0.075422818,0.697384957,-0.023989966,0.901691599
gs-clickedresult-ndf,oc-clickedresult-ndf,2,0.200535452,0.296922026,0.082166278,0.671760351,-0.004482394,0.98158909
gs-useranswer-ndf,oc-clickedresult-ndf,12,0.199047385,0.300595576,0.227215699,0.235877855,-0.033778583,0.861903851
gs-useranswer-ndf,oc-fixedresult-ndf,7,0.196034525,0.308120393,0.177687349,0.356448813,-0.159418122,0.4087858
gs-clickedresult-ndf,oc-clickedresult-ndf,3,0.19254011,0.316993755,-0.422280565,0.022492604,-0.234550121,0.220686723
gs-useranswer-ndf,oc-clickedresult-ndf,1,0.189811724,0.324030663,0.082785998,0.669422895,0.319154133,0.091496513
gs-clickedresult-ndf,oc-fixedresult-df,1,0.185135009,0.336313803,0.310533765,0.101101148,0.319154133,0.091496513
gs-clickedresult-ndf,oc-fixedresult-df,11,0.183604594,0.340393878,-0.189728829,0.324245951,0.090182078,0.641764547
gs-useranswer-ndf,oc-fixedresult-df,11,0.18274421,0.342700732,-0.136977136,0.478604947,0.090182078,0.641764547
gs-useranswer-df,oc-clickedresult-ndf,12,0.175060101,0.363719003,0.187686571,0.32957767,-0.033778583,0.861903851
gs-clickedresult-ndf,oc-clickedresult-df,8,0.174517828,0.365230406,0.09011436,0.642015742,0.328992026,0.081398566
gs-clickedresult-ndf,oc-fixedresult-ndf,5,0.172222703,0.371668147,-0.028919632,0.881618813,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-clickedresult-ndf,2,0.1711217,0.374779823,-0.019420989,0.920349079,-0.004482394,0.98158909
gs-useranswer-ndf,oc-clickedresult-df,4,0.170817561,0.375642058,-0.124591472,0.519608379,-0.023989966,0.901691599
gs-useranswer-df,oc-clickedresult-ndf,5,0.168268639,0.382913554,-0.028197315,0.884555784,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-fixedresult-ndf,10,0.167496852,0.385131219,-0.148254476,0.442776839,0.154042144,0.424967953
gs-manual,oc-clickedresult-ndf,2,0.167355767,0.385537415,-0.069635271,0.719641104,-0.004482394,0.98158909
gs-clickedresult-ndf,oc-clickedresult-ndf,12,0.167280746,0.385753507,0.335837734,0.074891417,-0.033778583,0.861903851
gs-useranswer-df,oc-clickedresult-df,9,0.163480965,0.396789479,-0.125526884,0.516453159,-0.121192127,0.531153062
gs-clickedresult-ndf,oc-clickedresult-df,12,0.162643756,0.399244959,-0.194334237,0.312418382,-0.033778583,0.861903851
gs-useranswer-ndf,oc-fixedresult-ndf,4,0.162027109,0.401059049,-0.123015093,0.524946771,-0.023989966,0.901691599
gs-useranswer-ndf,oc-fixedresult-ndf,8,0.161812985,0.401690062,-0.02600722,0.893469803,0.328992026,0.081398566
gs-useranswer-ndf,oc-clickedresult-df,8,0.157640588,0.414097628,0.048641804,0.802146531,0.328992026,0.081398566
gs-fixedresult-df,oc-clickedresult-ndf,1,0.157306744,0.415099536,0.099624935,0.607126218,0.319154133,0.091496513
gs-fixedresult-ndf,oc-fixedresult-ndf,5,0.15226874,0.430382388,-0.026569418,0.891180318,-0.135372216,0.483822207
gs-useranswer-df,oc-fixedresult-ndf,7,0.151081409,0.434028461,0.313139145,0.098121811,-0.159418122,0.4087858
gs-fixedresult-ndf,oc-clickedresult-ndf,7,0.150682534,0.435257099,-0.024288511,0.900474162,-0.159418122,0.4087858
gs-clickedresult-ndf,oc-clickedresult-df,6,0.149981728,0.437420341,-0.268507918,0.159020534,0.280597071,0.140373638
gs-fixedresult-df,oc-clickedresult-df,10,0.149527773,0.438824715,-0.162915649,0.39844657,0.154042144,0.424967953
gs-useranswer-df,oc-fixedresult-df,11,0.149379544,0.439283808,0.11625475,0.548136569,0.090182078,0.641764547
gs-fixedresult-ndf,oc-fixedresult-df,11,0.148453161,0.442158891,-0.195259836,0.310074055,0.090182078,0.641764547
gs-fixedresult-ndf,oc-clickedresult-df,12,0.146530879,0.448157071,-0.197578969,0.304248487,-0.033778583,0.861903851
gs-fixedresult-df,oc-fixedresult-df,7,0.145800045,0.450448904,0.37561176,0.044647224,-0.159418122,0.4087858
gs-manual,oc-fixedresult-df,11,0.14391998,0.456373294,-0.057616627,0.766563079,0.090182078,0.641764547
gs-manual,oc-fixedresult-df,2,0.143076976,0.459043088,0.267341213,0.160909302,-0.004482394,0.98158909
gs-clickedresult-ndf,oc-fixedresult-ndf,3,0.142168528,0.461929357,-0.244238932,0.201653919,-0.234550121,0.220686723
gs-manual,oc-clickedresult-ndf,3,0.140507827,0.467230244,0.182369766,0.343707626,-0.234550121,0.220686723
gs-clickedresult-df,oc-clickedresult-df,10,0.140501559,0.467250311,-0.165090052,0.392094338,0.154042144,0.424967953
gs-manual,oc-clickedresult-ndf,9,0.138769913,0.47281147,-0.075584046,0.696768355,-0.121192127,0.531153062
gs-clickedresult-ndf,oc-clickedresult-df,3,0.138106446,0.474951254,-0.179495309,0.351496346,-0.234550121,0.220686723
gs-manual,oc-clickedresult-ndf,1,0.137789418,0.475975485,0.063053454,0.745225918,0.319154133,0.091496513
gs-manual,oc-clickedresult-df,1,0.137070683,0.478301742,-0.278180078,0.14396844,0.319154133,0.091496513
gs-fixedresult-ndf,oc-clickedresult-ndf,10,0.134760943,0.485816948,-0.044101344,0.820301964,0.154042144,0.424967953
gs-useranswer-ndf,oc-clickedresult-ndf,5,0.13403881,0.488178851,-0.146971715,0.446777674,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-fixedresult-df,1,0.13307583,0.491337565,0.462319864,0.011567888,0.319154133,0.091496513
gs-fixedresult-df,oc-clickedresult-ndf,9,0.132617836,0.492843475,-0.207666565,0.279712462,-0.121192127,0.531153062
gs-useranswer-df,oc-clickedresult-df,7,0.132504488,0.493216528,-0.257223394,0.177962545,-0.159418122,0.4087858
gs-manual,oc-fixedresult-df,7,0.132234715,0.494104986,0.175835621,0.361563922,-0.159418122,0.4087858
gs-clickedresult-ndf,oc-fixedresult-ndf,12,0.132094439,0.494567284,0.121985486,0.528447762,-0.033778583,0.861903851
gs-fixedresult-df,oc-clickedresult-ndf,12,0.130511364,0.499799593,0.086695907,0.654745862,-0.033778583,0.861903851
gs-fixedresult-ndf,oc-fixedresult-ndf,7,0.129850572,0.50199178,-0.20712734,0.280990943,-0.159418122,0.4087858
gs-clickedresult-ndf,oc-fixedresult-ndf,10,0.128884563,0.505205139,0.119311063,0.537593714,0.154042144,0.424967953
gs-fixedresult-ndf,oc-clickedresult-df,8,0.128667327,0.505929164,0.070645998,0.715737536,0.328992026,0.081398566
gs-useranswer-df,oc-clickedresult-df,8,0.122343517,0.527229072,-0.024710244,0.89875475,0.328992026,0.081398566
gs-manual,oc-fixedresult-ndf,11,0.121854524,0.528893877,0.061239617,0.752324823,0.090182078,0.641764547
gs-fixedresult-df,oc-clickedresult-ndf,10,0.116766107,0.546365936,0.258989313,0.174898389,0.154042144,0.424967953
gs-clickedresult-df,oc-clickedresult-ndf,4,0.116061179,0.548807525,0.059890335,0.757618455,-0.023989966,0.901691599
gs-clickedresult-ndf,oc-fixedresult-df,3,0.116048633,0.548851026,-0.398220829,0.032391533,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-clickedresult-ndf,6,0.114976802,0.552573263,-0.276315173,0.146787262,0.280597071,0.140373638
gs-useranswer-ndf,oc-clickedresult-ndf,9,0.113696853,0.557033492,-0.090698936,0.639848587,-0.121192127,0.531153062
gs-manual,oc-clickedresult-df,8,0.112307909,0.561892164,0.131405903,0.496839604,0.328992026,0.081398566
gs-clickedresult-df,oc-fixedresult-df,7,0.112226867,0.562176253,0.380204842,0.041898245,-0.159418122,0.4087858
gs-useranswer-ndf,oc-clickedresult-df,6,0.112028664,0.562871321,-0.19176333,0.318987486,0.280597071,0.140373638
gs-fixedresult-ndf,oc-clickedresult-df,6,0.111923071,0.563241777,-0.286389474,0.132024331,0.280597071,0.140373638
gs-manual,oc-clickedresult-df,4,0.110969808,0.566591167,-0.375077624,0.044976003,-0.023989966,0.901691599
gs-useranswer-ndf,oc-clickedresult-df,12,0.107235493,0.579798061,-0.125221361,0.51748268,-0.033778583,0.861903851
gs-useranswer-ndf,oc-clickedresult-df,1,0.106544372,0.582257141,-0.473850457,0.009413669,0.319154133,0.091496513
gs-fixedresult-df,oc-clickedresult-ndf,4,0.102157924,0.597970538,0.043130641,0.824195556,-0.023989966,0.901691599
gs-useranswer-df,oc-fixedresult-ndf,11,0.099273174,0.608402338,0.04662614,0.810194504,0.090182078,0.641764547
gs-clickedresult-df,oc-fixedresult-df,1,0.097960891,0.613172952,0.306195856,0.106211721,0.319154133,0.091496513
gs-manual,oc-fixedresult-ndf,7,0.097056497,0.616469782,-0.141278877,0.464765138,-0.159418122,0.4087858
gs-manual,oc-clickedresult-ndf,11,0.095297317,0.622903498,0.168532189,0.38215796,0.090182078,0.641764547
gs-fixedresult-df,oc-fixedresult-df,10,0.093641886,0.628982689,-0.071352682,0.713012378,0.154042144,0.424967953
gs-useranswer-df,oc-clickedresult-ndf,11,0.092295133,0.633945915,0.083469747,0.666847436,0.090182078,0.641764547
gs-clickedresult-df,oc-clickedresult-ndf,9,0.090450181,0.640770425,-0.148708652,0.441364949,-0.121192127,0.531153062
gs-fixedresult-ndf,oc-clickedresult-df,2,0.087372229,0.652219611,-0.214131327,0.264675431,-0.004482394,0.98158909
gs-fixedresult-ndf,oc-fixedresult-df,2,0.084754772,0.662017194,0.145153904,0.452480353,-0.004482394,0.98158909
gs-fixedresult-ndf,oc-fixedresult-ndf,9,0.084042798,0.664691788,0.326034675,0.0843399,-0.121192127,0.531153062
gs-clickedresult-df,oc-clickedresult-ndf,3,0.083875855,0.665319511,0.260818336,0.171764084,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-fixedresult-df,3,0.083507411,0.666705677,-0.418778546,0.023755786,-0.234550121,0.220686723
gs-fixedresult-df,oc-clickedresult-df,7,0.082655973,0.669913071,-0.142937915,0.459484287,-0.159418122,0.4087858
gs-clickedresult-df,oc-fixedresult-df,10,0.08147196,0.674382731,-0.077136541,0.690840681,0.154042144,0.424967953
gs-useranswer-df,oc-clickedresult-ndf,4,0.077723112,0.688605683,-0.06114268,0.752704771,-0.023989966,0.901691599
gs-fixedresult-df,oc-fixedresult-ndf,10,0.076432361,0.69352716,0.213079174,0.267086202,0.154042144,0.424967953
gs-clickedresult-df,oc-fixedresult-ndf,1,0.076223278,0.694325525,0.305912365,0.106552307,0.319154133,0.091496513
gs-clickedresult-ndf,oc-clickedresult-df,2,0.074775533,0.69986234,-0.234024176,0.22175349,-0.004482394,0.98158909
