标准答案,用户outcome抽取方式,topic,,,,,,
gs-useranswer-df,oc-clickedresult-df,1,0.074271663,0.701792914,-0.473350052,0.009499593,0.319154133,0.091496513
gs-manual,oc-fixedresult-ndf,8,0.072632573,0.708085586,-0.000220163,0.999095629,0.328992026,0.081398566
gs-fixedresult-ndf,oc-fixedresult-ndf,12,0.071822515,0.711202485,0.140140232,0.468407878,-0.033778583,0.861903851
gs-useranswer-ndf,oc-clickedresult-df,9,0.07107567,0.7140802,-0.078045439,0.687378617,-0.121192127,0.531153062
gs-clickedresult-df,oc-fixedresult-ndf,9,0.070263208,0.717215109,-0.250730672,0.189551989,-0.121192127,0.531153062
gs-useranswer-ndf,oc-fixedresult-ndf,1,0.06865595,0.723429968,0.208128428,0.278620373,0.319154133,0.091496513
gs-manual,oc-clickedresult-df,9,0.068433565,0.724291239,-0.035691685,0.854163078,-0.121192127,0.531153062
gs-clickedresult-ndf,oc-clickedresult-ndf,1,0.068310302,0.724768766,-0.233731814,0.222347986,0.319154133,0.091496513
gs-fixedresult-df,oc-fixedresult-ndf,1,0.066918964,0.730165836,0.04652644,0.810593075,0.319154133,0.091496513
gs-manual,oc-clickedresult-df,11,0.06643903,0.732030467,0.073022243,0.70658787,0.090182078,0.641764547
gs-useranswer-df,oc-fixedresult-ndf,1,0.063400517,0.743869904,0.284259153,0.135051737,0.319154133,0.091496513
gs-manual,oc-fixedresult-ndf,10,0.059254091,0.760118372,0.144309304,0.455143091,0.154042144,0.424967953
gs-useranswer-df,oc-clickedresult-df,5,0.058778655,0.761987992,-0.153236063,0.427424355,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-fixedresult-ndf,7,0.058184034,0.764328138,0.30028092,0.113488277,-0.159418122,0.4087858
gs-clickedresult-ndf,oc-fixedresult-df,8,0.058129585,0.764542525,0.118643559,0.539888066,0.328992026,0.081398566
gs-useranswer-ndf,oc-fixedresult-ndf,9,0.057955896,0.765226524,-0.140434495,0.46746505,-0.121192127,0.531153062
gs-fixedresult-df,oc-clickedresult-ndf,7,0.057412354,0.767368135,-0.141114489,0.465290127,-0.159418122,0.4087858
gs-fixedresult-df,oc-fixedresult-ndf,5,0.051585999,0.790426907,0.263108427,0.167895835,-0.135372216,0.483822207
gs-clickedresult-df,oc-fixedresult-ndf,10,0.050366847,0.795274581,0.211035276,0.271809915,0.154042144,0.424967953
gs-useranswer-df,oc-fixedresult-df,12,0.049494045,0.798749673,-0.2822589,0.137940058,-0.033778583,0.861903851
gs-fixedresult-ndf,oc-clickedresult-ndf,4,0.048405755,0.803088002,0.015218614,0.937546362,-0.023989966,0.901691599
gs-fixedresult-df,oc-clickedresult-df,8,0.047362298,0.807252994,0.055387074,0.775362595,0.328992026,0.081398566
gs-manual,oc-fixedresult-ndf,1,0.044508106,0.818671636,0.230717991,0.228539128,0.319154133,0.091496513
gs-useranswer-df,oc-fixedresult-ndf,9,0.041159319,0.832115216,-0.228010698,0.234198382,-0.121192127,0.531153062
gs-fixedresult-df,oc-clickedresult-ndf,11,0.038579845,0.842502299,0.006817532,0.972000858,0.090182078,0.641764547
gs-clickedresult-df,oc-clickedresult-ndf,10,0.038384522,0.843289908,0.229528355,0.231014491,0.154042144,0.424967953
gs-clickedresult-ndf,oc-fixedresult-df,2,0.035448494,0.855146357,0.14030071,0.467893579,-0.004482394,0.98158909
gs-manual,oc-clickedresult-df,6,0.035136577,0.856407819,-0.186821459,0.331852269,0.280597071,0.140373638
gs-manual,oc-clickedresult-df,5,0.031288101,0.871999481,-0.231798058,0.226307234,-0.135372216,0.483822207
gs-useranswer-ndf,oc-fixedresult-df,12,0.030880542,0.873653512,-0.108628918,0.574854126,-0.033778583,0.861903851
gs-fixedresult-ndf,oc-fixedresult-df,8,0.029155614,0.880659632,0.093819045,0.628330969,0.328992026,0.081398566
gs-manual,oc-clickedresult-ndf,10,0.027925842,0.885659996,0.230412487,0.229173106,0.154042144,0.424967953
gs-clickedresult-df,oc-clickedresult-ndf,7,0.027042523,0.889254313,-0.163466917,0.396830609,-0.159418122,0.4087858
gs-fixedresult-df,oc-fixedresult-df,1,0.023805027,0.902445872,0.481600585,0.008164066,0.319154133,0.091496513
gs-fixedresult-df,oc-clickedresult-ndf,3,0.022225928,0.908889545,0.172340875,0.371335068,-0.234550121,0.220686723
gs-fixedresult-df,oc-clickedresult-df,11,0.022206781,0.908967712,0.243371076,0.203311121,0.090182078,0.641764547
gs-clickedresult-df,oc-clickedresult-df,7,0.022128804,0.909286059,-0.089947951,0.642633182,-0.159418122,0.4087858
gs-clickedresult-df,oc-fixedresult-ndf,5,0.020124685,0.917472586,0.268876793,0.158426671,-0.135372216,0.483822207
gs-useranswer-df,oc-fixedresult-df,6,0.020096463,0.91758793,0.099012254,0.609349632,0.280597071,0.140373638
gs-fixedresult-df,oc-clickedresult-df,1,0.019435845,0.920288344,0.207240942,0.280721287,0.319154133,0.091496513
gs-useranswer-df,oc-clickedresult-df,6,0.017451074,0.928406613,-0.202294369,0.292616516,0.280597071,0.140373638
gs-manual,oc-clickedresult-ndf,8,0.012919122,0.946968651,0.237344033,0.215078091,0.328992026,0.081398566
gs-useranswer-ndf,oc-clickedresult-ndf,7,0.01247939,0.948771315,-0.214696201,0.263387002,-0.159418122,0.4087858
gs-manual,oc-clickedresult-df,3,0.010494904,0.95690957,0.069320847,0.720856866,-0.234550121,0.220686723
gs-useranswer-df,oc-fixedresult-df,9,0.005652329,0.976784864,-0.169581131,0.379159211,-0.121192127,0.531153062
gs-useranswer-df,oc-clickedresult-ndf,9,0.004776752,0.980380269,-0.182702424,0.342813008,-0.121192127,0.531153062
gs-useranswer-df,oc-clickedresult-ndf,1,0.003511973,0.985574512,-0.058613412,0.762638104,0.319154133,0.091496513
gs-useranswer-ndf,oc-clickedresult-ndf,11,0.002929032,0.987968764,0.211728205,0.270202462,0.090182078,0.641764547
gs-clickedresult-df,oc-fixedresult-df,11,-0.001744372,0.992834687,0.014080495,0.942208912,0.090182078,0.641764547
gs-clickedresult-df,oc-clickedresult-ndf,1,-0.002649113,0.989118485,0.194519751,0.311947638,0.319154133,0.091496513
gs-fixedresult-ndf,oc-clickedresult-ndf,5,-0.00387807,0.984070944,-0.417781243,0.024125939,-0.135372216,0.483822207
gs-fixedresult-df,oc-fixedresult-df,6,-0.00586769,0.975900588,0.117986105,0.542152383,0.280597071,0.140373638
gs-clickedresult-ndf,oc-clickedresult-ndf,5,-0.007383279,0.969678388,-0.418282423,0.02393934,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-clickedresult-ndf,4,-0.010543602,0.95670981,-0.024554099,0.899391301,-0.023989966,0.901691599
gs-useranswer-ndf,oc-clickedresult-df,5,-0.013796042,0.943374532,-0.160569311,0.4053662,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-fixedresult-ndf,11,-0.018210737,0.925298502,0.031215772,0.872292983,0.090182078,0.641764547
gs-clickedresult-ndf,oc-clickedresult-df,11,-0.020893946,0.914329247,-0.04291163,0.825074599,0.090182078,0.641764547
gs-clickedresult-ndf,oc-clickedresult-ndf,8,-0.025380347,0.896023655,0.059223076,0.760240296,0.328992026,0.081398566
gs-fixedresult-df,oc-clickedresult-df,6,-0.025912624,0.893855113,-0.044634416,0.818165527,0.280597071,0.140373638
gs-clickedresult-df,oc-clickedresult-df,9,-0.026225036,0.892582669,0.209979548,0.274270837,-0.121192127,0.531153062
gs-clickedresult-df,oc-clickedresult-ndf,12,-0.029754574,0.878225818,0.065437211,0.735927519,-0.033778583,0.861903851
gs-useranswer-df,oc-fixedresult-ndf,12,-0.031360906,0.871704064,-0.055813611,0.773677012,-0.033778583,0.861903851
gs-manual,oc-fixedresult-df,12,-0.035228981,0.856034081,-0.144624984,0.454146886,-0.033778583,0.861903851
gs-clickedresult-ndf,oc-clickedresult-df,1,-0.037229429,0.847950627,0.184526475,0.33793258,0.319154133,0.091496513
gs-useranswer-ndf,oc-clickedresult-ndf,4,-0.038614445,0.842362796,-0.112790785,0.560200824,-0.023989966,0.901691599
gs-useranswer-df,oc-clickedresult-ndf,7,-0.049724119,0.797833255,0.038165167,0.844174596,-0.159418122,0.4087858
gs-fixedresult-ndf,oc-clickedresult-df,11,-0.061713162,0.750469554,-0.16082144,0.404619411,0.090182078,0.641764547
gs-clickedresult-ndf,oc-fixedresult-ndf,9,-0.062909606,0.745788169,-0.079432688,0.682106397,-0.121192127,0.531153062
gs-manual,oc-fixedresult-df,5,-0.063229678,0.744537297,-0.058823411,0.761811933,-0.135372216,0.483822207
gs-clickedresult-df,oc-clickedresult-ndf,6,-0.064401336,0.739963794,-0.257516125,0.177452021,0.280597071,0.140373638
gs-fixedresult-ndf,oc-clickedresult-ndf,9,-0.065760578,0.734668924,-0.017060688,0.930004252,-0.121192127,0.531153062
gs-clickedresult-ndf,oc-fixedresult-df,10,-0.066219551,0.732883683,0.272299965,0.152990983,0.154042144,0.424967953
gs-fixedresult-df,oc-fixedresult-ndf,9,-0.067530792,0.727790957,-0.348470004,0.063943451,-0.121192127,0.531153062
gs-useranswer-ndf,oc-fixedresult-df,4,-0.071690058,0.711712582,-0.150392258,0.436152416,-0.023989966,0.901691599
gs-fixedresult-ndf,oc-clickedresult-ndf,3,-0.072445045,0.708806739,-0.228639211,0.232876288,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-fixedresult-ndf,2,-0.07332966,0.705407054,-0.061109115,0.752836345,-0.004482394,0.98158909
gs-clickedresult-ndf,oc-fixedresult-ndf,2,-0.074289872,0.701723113,-0.018266225,0.92507152,-0.004482394,0.98158909
gs-manual,oc-fixedresult-df,8,-0.080409167,0.678404042,0.151131155,0.433875365,0.328992026,0.081398566
gs-clickedresult-df,oc-fixedresult-ndf,4,-0.080768607,0.67704305,0.100537736,0.603820023,-0.023989966,0.901691599
gs-clickedresult-df,oc-clickedresult-df,8,-0.081481565,0.67434643,-0.105637071,0.585492372,0.328992026,0.081398566
gs-manual,oc-fixedresult-ndf,9,-0.084452454,0.663152385,0.041702566,0.829931116,-0.121192127,0.531153062
gs-useranswer-ndf,oc-clickedresult-ndf,8,-0.086658526,0.654885597,0.201927797,0.293510538,0.328992026,0.081398566
gs-clickedresult-ndf,oc-clickedresult-ndf,11,-0.086694726,0.654750275,0.131798319,0.495543902,0.090182078,0.641764547
gs-fixedresult-df,oc-fixedresult-ndf,4,-0.089457109,0.644455754,0.116661164,0.546729095,-0.023989966,0.901691599
gs-fixedresult-ndf,oc-fixedresult-df,10,-0.091280782,0.637694429,0.244728341,0.200723483,0.154042144,0.424967953
gs-clickedresult-ndf,oc-clickedresult-ndf,9,-0.091691892,0.63617412,-0.076158098,0.694574472,-0.121192127,0.531153062
gs-manual,oc-clickedresult-ndf,5,-0.092254592,0.634095565,-0.133006404,0.49156569,-0.135372216,0.483822207
gs-useranswer-ndf,oc-fixedresult-ndf,12,-0.096640077,0.617990239,0.083698205,0.665987735,-0.033778583,0.861903851
gs-clickedresult-df,oc-fixedresult-df,4,-0.103561762,0.592921883,0.218035027,0.255854897,-0.023989966,0.901691599
gs-fixedresult-ndf,oc-clickedresult-ndf,8,-0.103697836,0.592433498,0.143553342,0.457533424,0.328992026,0.081398566
gs-useranswer-df,oc-fixedresult-df,4,-0.105607576,0.585597677,-0.143090353,0.459000659,-0.023989966,0.901691599
gs-useranswer-ndf,oc-fixedresult-df,9,-0.106804317,0.581331691,-0.169238905,0.380136072,-0.121192127,0.531153062
gs-manual,oc-fixedresult-df,3,-0.106978934,0.580710387,0.00177624,0.992703788,-0.234550121,0.220686723
gs-fixedresult-df,oc-fixedresult-df,4,-0.107505926,0.578837083,0.212805684,0.267715168,-0.023989966,0.901691599
gs-fixedresult-df,oc-clickedresult-df,9,-0.112759302,0.560311026,0.271075053,0.154920436,-0.121192127,0.531153062
gs-clickedresult-df,oc-clickedresult-df,11,-0.116656502,0.546745229,0.036191234,0.852143956,0.090182078,0.641764547
gs-useranswer-df,oc-clickedresult-df,4,-0.1236545,0.522778239,-0.247218875,0.196034401,-0.023989966,0.901691599
gs-clickedresult-df,oc-fixedresult-ndf,12,-0.127495993,0.509841954,0.143540794,0.457573156,-0.033778583,0.861903851
gs-clickedresult-ndf,oc-fixedresult-df,4,-0.127504172,0.509814579,-0.005648806,0.976799328,-0.023989966,0.901691599
gs-fixedresult-df,oc-clickedresult-ndf,8,-0.129436925,0.503366497,0.393712224,0.034588784,0.328992026,0.081398566
gs-fixedresult-ndf,oc-fixedresult-ndf,1,-0.12960975,0.502791901,-0.101395683,0.600719492,0.319154133,0.091496513
gs-useranswer-df,oc-clickedresult-df,11,-0.129611686,0.502785468,0.13563229,0.482974789,0.090182078,0.641764547
gs-fixedresult-df,oc-fixedresult-df,9,-0.130894286,0.498531441,0.160773202,0.40476223,-0.121192127,0.531153062
gs-useranswer-ndf,oc-clickedresult-ndf,6,-0.134336358,0.487204946,-0.220561809,0.250249477,0.280597071,0.140373638
gs-clickedresult-df,oc-fixedresult-df,9,-0.139271635,0.471196671,0.173270687,0.368720402,-0.121192127,0.531153062
gs-useranswer-ndf,oc-fixedresult-df,6,-0.140384596,0.467624856,-0.084839039,0.661700908,0.280597071,0.140373638
gs-fixedresult-ndf,oc-clickedresult-df,1,-0.14058798,0.466973672,-0.057976759,0.765144356,0.319154133,0.091496513
gs-clickedresult-df,oc-clickedresult-df,1,-0.142554446,0.460702075,-0.004630255,0.980981873,0.319154133,0.091496513
gs-fixedresult-df,oc-fixedresult-df,3,-0.143282738,0.458390679,0.251958059,0.18732191,-0.234550121,0.220686723
gs-manual,oc-clickedresult-ndf,4,-0.148623399,0.441629787,-0.125172761,0.517646542,-0.023989966,0.901691599
gs-useranswer-ndf,oc-fixedresult-df,5,-0.149277176,0.439601017,0.072079656,0.710212575,-0.135372216,0.483822207
gs-manual,oc-fixedresult-ndf,3,-0.149732412,0.438191331,0.308825681,0.103090949,-0.234550121,0.220686723
gs-manual,oc-fixedresult-ndf,12,-0.150446697,0.43598443,0.021310336,0.912628328,-0.033778583,0.861903851
gs-fixedresult-df,oc-fixedresult-ndf,7,-0.154451831,0.423722487,0.240806738,0.208262375,-0.159418122,0.4087858
gs-clickedresult-df,oc-fixedresult-ndf,7,-0.154874736,0.422438949,0.268167207,0.159570463,-0.159418122,0.4087858
gs-useranswer-df,oc-fixedresult-df,5,-0.158838299,0.410514273,-0.07331293,0.705471298,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-fixedresult-df,12,-0.160758171,0.404806738,-0.257585108,0.177331865,-0.033778583,0.861903851
gs-manual,oc-fixedresult-ndf,4,-0.162315755,0.400209312,-0.115303469,0.551437584,-0.023989966,0.901691599
gs-clickedresult-df,oc-fixedresult-df,6,-0.164517007,0.393762764,-0.106394051,0.58279261,0.280597071,0.140373638
gs-manual,oc-fixedresult-df,6,-0.165263358,0.391590555,-0.163421275,0.396964259,0.280597071,0.140373638
gs-clickedresult-df,oc-fixedresult-df,3,-0.166903873,0.386840114,0.285626442,0.133102925,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-clickedresult-ndf,1,-0.167494409,0.38513825,-0.497598209,0.006021834,0.319154133,0.091496513
gs-fixedresult-ndf,oc-fixedresult-df,12,-0.174726138,0.364649375,-0.248272967,0.194072783,-0.033778583,0.861903851
gs-useranswer-df,oc-clickedresult-ndf,8,-0.177597755,0.356695308,0.307246841,0.104956171,0.328992026,0.081398566
gs-clickedresult-ndf,oc-fixedresult-df,6,-0.179409212,0.351731252,-0.225568338,0.239383509,0.280597071,0.140373638
gs-clickedresult-df,oc-clickedresult-df,3,-0.182388705,0.343656655,0.083918518,0.665159073,-0.234550121,0.220686723
gs-clickedresult-ndf,oc-fixedresult-ndf,1,-0.186417802,0.332916851,0.023945518,0.901872871,0.319154133,0.091496513
gs-clickedresult-df,oc-fixedresult-ndf,2,-0.191175266,0.320501984,0.029383354,0.879734104,-0.004482394,0.98158909
gs-manual,oc-fixedresult-df,9,-0.193037712,0.315720641,-0.148440168,0.442199287,-0.121192127,0.531153062
gs-fixedresult-ndf,oc-fixedresult-df,4,-0.193564166,0.31437716,0.035860259,0.85348162,-0.023989966,0.901691599
gs-manual,oc-clickedresult-ndf,6,-0.197741949,0.303841684,-0.303967474,0.108910939,0.280597071,0.140373638
gs-useranswer-ndf,oc-fixedresult-df,8,-0.198843118,0.301102063,-0.083461415,0.666878797,0.328992026,0.081398566
gs-useranswer-df,oc-fixedresult-df,8,-0.200150109,0.297870581,-0.071701597,0.711668141,0.328992026,0.081398566
gs-useranswer-ndf,oc-clickedresult-df,11,-0.203347803,0.290056931,0.042375238,0.827228387,0.090182078,0.641764547
gs-fixedresult-df,oc-fixedresult-ndf,3,-0.205818372,0.284109993,0.422864611,0.022287394,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-clickedresult-df,4,-0.207004019,0.281283857,0.134925813,0.485278521,-0.023989966,0.901691599
gs-clickedresult-ndf,oc-clickedresult-ndf,6,-0.2107158,0.27255311,-0.196380041,0.30725153,0.280597071,0.140373638
gs-fixedresult-df,oc-fixedresult-ndf,2,-0.211942838,0.269705806,0.040344054,0.835395241,-0.004482394,0.98158909
gs-fixedresult-df,oc-fixedresult-ndf,6,-0.212690414,0.26798055,0.297116441,0.117530062,0.280597071,0.140373638
gs-fixedresult-df,oc-clickedresult-df,3,-0.219727321,0.252091687,-0.057093232,0.768626289,-0.234550121,0.220686723
gs-clickedresult-df,oc-fixedresult-df,2,-0.220635059,0.250088196,0.127686042,0.509206089,-0.004482394,0.98158909
gs-fixedresult-df,oc-fixedresult-df,2,-0.221787946,0.247558788,0.133405745,0.490254231,-0.004482394,0.98158909
gs-clickedresult-df,oc-clickedresult-ndf,5,-0.223637697,0.243535882,0.218059734,0.255799694,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-fixedresult-ndf,6,-0.224758844,0.241118777,-0.20933181,0.275787808,0.280597071,0.140373638
gs-fixedresult-df,oc-clickedresult-ndf,5,-0.225255543,0.240053044,0.197331155,0.304867692,-0.135372216,0.483822207
gs-clickedresult-df,oc-clickedresult-df,4,-0.228792589,0.232554413,-0.041470006,0.830865961,-0.023989966,0.901691599
gs-clickedresult-df,oc-clickedresult-df,6,-0.230291494,0.229424515,-0.247039953,0.196368721,0.280597071,0.140373638
gs-manual,oc-fixedresult-df,1,-0.230602454,0.22877875,0.088039368,0.64973134,0.319154133,0.091496513
gs-fixedresult-ndf,oc-fixedresult-df,6,-0.231306872,0.227320416,-0.215871176,0.260720085,0.280597071,0.140373638
gs-clickedresult-ndf,oc-clickedresult-df,4,-0.231396189,0.227135953,0.091515527,0.636826154,-0.023989966,0.901691599
gs-clickedresult-ndf,oc-fixedresult-df,7,-0.239202256,0.211401911,0.368404791,0.049247786,-0.159418122,0.4087858
gs-manual,oc-fixedresult-df,4,-0.242683349,0.204630986,-0.164435397,0.394000703,-0.023989966,0.901691599
gs-clickedresult-df,oc-clickedresult-ndf,8,-0.24284071,0.204328467,0.35939984,0.055514323,0.328992026,0.081398566
gs-fixedresult-df,oc-clickedresult-df,4,-0.24644688,0.197479711,-0.039727476,0.837877695,-0.023989966,0.901691599
gs-fixedresult-ndf,oc-fixedresult-ndf,11,-0.254377015,0.182980455,0.03921576,0.83993911,0.090182078,0.641764547
gs-clickedresult-ndf,oc-clickedresult-ndf,7,-0.25585382,0.180364782,0.115394475,0.551121387,-0.159418122,0.4087858
gs-fixedresult-df,oc-fixedresult-df,5,-0.262582518,0.168778653,0.269699449,0.157107958,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-fixedresult-df,5,-0.262961991,0.168141321,0.173596873,0.367805719,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-clickedresult-ndf,11,-0.267217741,0.161110121,0.144728473,0.453820554,0.090182078,0.641764547
gs-clickedresult-ndf,oc-fixedresult-df,5,-0.267540086,0.160586223,0.153478292,0.426685384,-0.135372216,0.483822207
gs-clickedresult-df,oc-fixedresult-df,8,-0.268252328,0.159432946,-0.125672193,0.515963862,0.328992026,0.081398566
gs-clickedresult-df,oc-fixedresult-df,5,-0.269663737,0.157165041,0.259848927,0.173420335,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-clickedresult-df,9,-0.27180009,0.153776282,-0.036370035,0.851421483,-0.121192127,0.531153062
gs-clickedresult-df,oc-fixedresult-ndf,3,-0.278040666,0.144177798,0.068208876,0.725161773,-0.234550121,0.220686723
gs-useranswer-df,oc-clickedresult-ndf,6,-0.279237315,0.142387907,-0.25269199,0.185997169,0.280597071,0.140373638
gs-clickedresult-ndf,oc-fixedresult-ndf,6,-0.293825002,0.121846017,0.251894515,0.187436915,0.280597071,0.140373638
gs-manual,oc-fixedresult-df,10,-0.299949592,0.113906554,0.10972197,0.570989145,0.154042144,0.424967953
gs-useranswer-df,oc-fixedresult-ndf,4,-0.300223972,0.113560087,-0.221981766,0.247135215,-0.023989966,0.901691599
gs-fixedresult-ndf,oc-clickedresult-df,9,-0.300736331,0.112915216,-0.034414807,0.859328143,-0.121192127,0.531153062
gs-manual,oc-fixedresult-ndf,6,-0.309705962,0.102061848,0.09193306,0.635282938,0.280597071,0.140373638
gs-clickedresult-ndf,oc-fixedresult-df,9,-0.319529873,0.091094196,0.010750001,0.95586318,-0.121192127,0.531153062
gs-fixedresult-df,oc-clickedresult-ndf,6,-0.324995667,0.085392305,-0.094977444,0.624076288,0.280597071,0.140373638
gs-fixedresult-ndf,oc-fixedresult-ndf,3,-0.327029063,0.083341987,-0.11215069,0.562443348,-0.234550121,0.220686723
gs-useranswer-df,oc-fixedresult-df,1,-0.327267172,0.083104379,0.210827774,0.272292478,0.319154133,0.091496513
gs-useranswer-df,oc-fixedresult-ndf,6,-0.332304546,0.078197895,0.241220323,0.207458297,0.280597071,0.140373638
gs-fixedresult-df,oc-clickedresult-df,2,-0.337016588,0.073812503,0.093475558,0.629594813,-0.004482394,0.98158909
gs-fixedresult-ndf,oc-fixedresult-df,9,-0.33828222,0.072667548,0.054108507,0.780421175,-0.121192127,0.531153062
gs-clickedresult-df,oc-clickedresult-df,2,-0.344880796,0.066918633,0.088354683,0.648556571,-0.004482394,0.98158909
gs-clickedresult-df,oc-fixedresult-ndf,6,-0.380725562,0.041595313,0.079355801,0.682398225,0.280597071,0.140373638
gs-fixedresult-df,oc-fixedresult-ndf,12,-0.381338652,0.041240887,0.141558439,0.463873046,-0.033778583,0.861903851
gs-useranswer-ndf,oc-fixedresult-ndf,6,-0.393633084,0.034628397,0.169845501,0.37840558,0.280597071,0.140373638
gs-useranswer-ndf,oc-fixedresult-df,1,-0.411010986,0.026765239,0.093997434,0.627675002,0.319154133,0.091496513
gs-fixedresult-ndf,oc-clickedresult-df,5,-0.444172063,0.015784768,-0.134353451,0.487149029,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-fixedresult-df,7,-0.452356972,0.013747576,0.32743212,0.08294008,-0.159418122,0.4087858
gs-clickedresult-ndf,oc-clickedresult-df,5,-0.490060043,0.006962773,-0.10806959,0.576836384,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-clickedresult-df,7,-0.527582642,0.003269862,0.37485888,0.045111201,-0.159418122,0.4087858
gs-clickedresult-df,oc-clickedresult-df,5,-0.602655333,0.000540711,-0.002499061,0.989734807,-0.135372216,0.483822207
gs-fixedresult-df,oc-clickedresult-df,5,-0.604144411,0.000519382,-0.021970124,0.909933923,-0.135372216,0.483822207
gs-fixedresult-df,oc-clickedresult-ndf,2,-0.628769689,0.000259081,-0.15682468,0.416548652,-0.004482394,0.98158909
gs-clickedresult-df,oc-clickedresult-ndf,2,-0.630214387,0.000248266,-0.153875589,0.425474866,-0.004482394,0.98158909
